source,target
co-branding,Co-Branding
Co-branding Assets & Templates,Co-Branding-Materialien und -Vorlagen
codec,Codec
coefficient of performance,Leistungskoeffizient
Collaboration and Data Management Implementation Services,Collaboration and Data Management Implementation Services
Collaboration and Data Management Strategy Services,Collaboration and Data Management Strategy Services
collaborative project management,Collaborative Project Management
collateral,Werbematerial
color-dependent plot style table,farbabhängige Plotstiltabelle
command prompt,Eingabeaufforderung
commercial license,kommerzielle Lizenz
Commercial New,Commercial New
Communication Center,Communication Center
communication failure,Kommunikationsfehler
communication hub,Kommunikationszentrale
Community Relations,Community Relations
companion product,Begleitprodukt
Company Address or Name Change,Änderung der Adresse oder des Namens des Unternehmens
Compare,Vergleich
Compare products,Produkte vergleichen
Compare releases,Versionen vergleichen
compass,Kompass
compatibility chart,Kompatibilitätstabelle
compatibility matrix,Kompatibilitätstabelle
Competitive Intelligence,Wettbewerbsinformationen
complaint,Beschwerde
compliance,Compliance
comprehensive exam guide,Umfassende Prüfungsleitfäden
computer aided manufacturing,CAM (Computer Aided Manufacturing)
computer-aided manufacturing,CAM (Computer Aided Manufacturing)
concave,konkav
concept sketch,Konzeptskizze
Conceptual Design Curriculum,Conceptual Design Curriculum
concurrent users,gleichzeitige Benutzer
Configurator 360,Configurator 360
conflict of interest,Interessenkonflikt
construction management,Baumanagement
construction manager,Bauleiter
construction professional,Bauexperte
consultant,Berater
consulting service order licensing implementation,CSO-Beratungseinheit (Consulting Service Order) zur Lizenzierungsimplementierung
consulting system integrator partner,Consulting System Integrator-Partner
consumable,verwendbar
consumer product,Konsumgüter
consumer product manufacturer,Hersteller von Konsumgütern
consumption,Verbrauch
consumption rate,Verbrauchsrate
Contact a Reseller,Fachhändler kontaktieren
Contact a Sales Representative,Verkaufsberater kontaktieren
Contact Autodesk,Autodesk kontaktieren
contact ID,Kontakt-ID
Contact sales,Vertrieb kontaktieren
Contact Us,Kontakt
content source,Inhaltsquelle
contextual tab,kontextabhängige Registerkarte
continuing education credit,Weiterbildungspunkt
Contract Administration,Vertragsverwaltung
Contract Administrator,Vertragsadministrator
contract level,Vertragsebene
Contract Manager,Vertragsmanager
contract renewal date,Datum der Vertragsverlängerung
contractor,Bauunternehmer
controller cap,Controller-Kappe
coordinate reference system,Koordinatenreferenzsystem
coordinate space,Koordinatenraum
copy block,Textbaustein
copy deck,Textbausteine
Core features include,Die wichtigsten Funktionen:
counterfeit,gefälscht
Country Marketing Manager,Country Marketing Manager
Country Sales Manager,Country Sales Manager
coverage report,Wartungsvertragsbericht
CPM,kollaboratives Projektmanagement
Create with Vision,Visionäre Konstruktionen
Creative Commons,Creative Commons
CRM,CRM
crossgrade,Crossgrade
cross-grade,Crossgrade
CSAT,CSAT
CSI,CSI
CTA,CTA
CTB,CTB
CTO,CTO
cuboid,Quader
Curricula,Lehrpläne
Customer Care,Kundendienst
Customer Gallery,Kundengalerie
Customer Involvement Program,Programm zur Kundeneinbeziehung
customer relationship management,CRM (Customer Relationship Management)
