source,target
메모리 사용량,memory usage
메모장,Notepad
메쉬 미세 조정,mesh refinement
메쉬 밀도,mesh density
메쉬 수렴 연구,mesh convergence study
메이커,maker
메이커 및 인디 디자이너,Makers & indie designers
메인터넌스 플랜에서 서브스크립션으로 전환,switch from maintenance to subscription
메인터넌스 플랜에서 서브스크립션으로 전환 가능한 제품 목록,Maintenance to Subscription Eligibility List
멘토,mentor
멤버쉽 교육 공급자 프로그램,Membership Training Provider program
명령 프롬프트,command prompt
명령취소,undo
명명된 사용자,named user
명명된 플롯 스타일 테이블,named plot style table
명명된 호출자,named caller
명시적 제어,explicit control
모니터,monitor
모달 중첩,modal superposition
모달 해석,modal analysis
모델 검색기,model browser
모델 검토,Model Review
모델 문서,model documentation
모델 성능 기술 노트,Model Performance Technical Note
모델 식별자,model identifier
모듈식 설계,modular design
모바일 사이트,Mobile Site
모바일 앱,mobile app
무결성,integrity
무단 사용,unauthorized use
무료 체험판 이용하기,Get a Free Trial
무료 체험판 주문,Order a Free Trial
무료 학생용 소프트웨어,free student software
무형 자산,intangible asset
문서,documentation
문의,Contact Us
문자 스타일,text style
문자 편집기,text editor
문제 해결,troubleshooting
문제 해결 가이드,Objection Handling Guide
물리적 미디어,physical media
미국 건축사 협회,American Institute of Architects
미국회계기준,Accounting Standards Codification
미디어 브라우저,Media Browser
미디어 액세스 제어,Media Access Control
미디어 엔터테인먼트,Media & Entertainment
미디어 엔터테인먼트 교육 동영상,Media & Entertainment Training Videos
미디어 저장소 디스크,media storage disk
미디어 정보 모델,media information model
미디어 키트,boxed software
미리보기 안내서,Preview Guide
미준수 보고,Report Noncompliance
바로 가기,shortcut
바우처 코드,voucher code
바이러스 방지,virus protection
바이러스 스캐너,virus scanner
바이오 플라스틱,bioplastics
반복 청구,recurring billing
반부패,anti-corruption
반품 정책,return policy
밝기,brightness
방사형 편향,radial deflection
방산,defense
방향,orientation
방화,fire protection
배경 리액터,Background Reactor
배관,piping
배송 주소,shipping address
배율,scale factor
배치 뷰포트,layout viewport
배치 파일,batch file
백서,white paper
버전 비교,Compare releases
버전 비교표,Release Comparison Matrix
버전 업그레이드 정책,Upgrade Version Policy
법인,legal entity
법적 고지 사항,Legal Notice
법적 고지 사항 및 상표,Legal Notices & Trademarks
법적 책임,liability
벡터 렌더러,Vector Render
벤치마크 보고서,benchmark report
